Date, Open, High, Low, Close
02/21/23, 3.362, 3.571, 3.352, 3.519
02/20/23, 3.409, 3.417, 3.344, 3.362
02/17/23, 3.382, 3.476, 3.362, 3.409
02/16/23, 3.412, 3.450, 3.364, 3.382
02/15/23, 3.486, 3.486, 3.340, 3.412
02/14/23, 3.328, 3.502, 3.308, 3.486
02/13/23, 3.306, 3.365, 3.299, 3.328
02/10/23, 3.181, 3.318, 3.181, 3.306
02/09/23, 3.141, 3.210, 3.076, 3.181
02/08/23, 3.194, 3.213, 3.139, 3.141
02/07/23, 3.113, 3.219, 3.108, 3.194
02/06/23, 2.910, 3.153, 2.910, 3.113
02/03/23, 2.869, 2.972, 2.835, 2.910
02/02/23, 3.156, 3.156, 2.846, 2.869
02/01/23, 3.188, 3.188, 3.105, 3.156
01/31/23, 3.205, 3.240, 3.150, 3.188
01/30/23, 3.236, 3.280, 3.173, 3.205
01/27/23, 3.198, 3.251, 3.187, 3.236
01/26/23, 3.143, 3.224, 3.126, 3.198
01/25/23, 3.156, 3.178, 3.069, 3.143
01/24/23, 3.264, 3.264, 3.156, 3.156
01/23/23, 3.309, 3.319, 3.243, 3.264
01/20/23, 3.260, 3.320, 3.253, 3.309
01/19/23, 3.252, 3.352, 3.193, 3.260
01/18/23, 3.267, 3.341, 3.194, 3.252
01/17/23, 3.314, 3.404, 3.252, 3.267
01/16/23, 3.295, 3.372, 3.279, 3.314
01/13/23, 3.221, 3.299, 3.154, 3.295
01/12/23, 3.314, 3.314, 3.184, 3.221
01/11/23, 3.373, 3.373, 3.239, 3.314
01/10/23, 3.353, 3.417, 3.353, 3.373
01/09/23, 3.349, 3.434, 3.346, 3.353
01/06/23, 3.439, 3.501, 3.333, 3.349
01/05/23, 3.386, 3.490, 3.346, 3.439
01/04/23, 3.519, 3.519, 3.341, 3.386
01/03/23, 3.482, 3.548, 3.385, 3.519
01/02/23, 3.482, 3.482, 3.482, 3.482
12/30/22, 3.511, 3.603, 3.482, 3.482
12/29/22, 3.537, 3.592, 3.510, 3.511
12/28/22, 3.539, 3.673, 3.535, 3.537
12/27/22, 3.539, 3.539, 3.539, 3.539
12/26/22, 3.539, 3.539, 3.539, 3.539
