"Date","Price","Open","High","Low","Change %"
"31/01/2023","3.945","3.949","3.949","3.945","-0.03%"
"30/01/2023","3.946","3.915","3.946","3.915","1.96%"
"27/01/2023","3.870","3.870","3.870","3.870","-0.62%"
"26/01/2023","3.894","3.868","3.894","3.868","1.04%"
"25/01/2023","3.854","3.854","3.854","3.854","0.36%"
"24/01/2023","3.840","3.857","3.857","3.840","0.10%"
"23/01/2023","3.836","3.920","3.920","3.836","-1.64%"
"20/01/2023","3.900","3.900","3.900","3.900","0.28%"
"19/01/2023","3.889","3.889","3.889","3.889","-0.49%"
"18/01/2023","3.908","3.904","3.925","3.904","-0.05%"
"17/01/2023","3.910","3.877","3.910","3.877","1.51%"
"16/01/2023","3.852","3.826","3.852","3.826","0.89%"
"13/01/2023","3.818","3.809","3.818","3.809","0.37%"
"12/01/2023","3.804","3.808","3.808","3.804","-0.29%"
"11/01/2023","3.815","3.807","3.815","3.807","0.24%"
"10/01/2023","3.806","3.761","3.806","3.761","8.74%"
"09/01/2023","3.500","3.476","3.500","3.476","-1.41%"
"06/01/2023","3.550","3.452","3.550","3.452","2.60%"
"05/01/2023","3.460","3.451","3.460","3.451","0.29%"
"04/01/2023","3.450","3.450","3.450","3.450","-0.46%"
"03/01/2023","3.466","3.310","3.466","3.310","1.58%"
"02/01/2023","3.412","3.412","3.412","3.412","-0.90%"
"30/12/2022","3.443","3.349","3.511","3.349","2.93%"
"29/12/2022","3.345","3.589","3.589","3.505","-5.64%"
"28/12/2022","3.545","3.468","3.545","3.468","3.47%"
"27/12/2022","3.426","3.426","3.426","3.426","0.00%"
"26/12/2022","3.426","3.426","3.426","3.426","-0.75%"
"23/12/2022","3.452","3.452","3.452","3.452","-1.03%"
"22/12/2022","3.488","3.480","3.488","3.480","2.86%"
"21/12/2022","3.391","3.391","3.391","3.391","0.03%"
"20/12/2022","3.390","3.390","3.390","3.390","3.96%"
"19/12/2022","3.261","3.261","3.261","3.261","-0.73%"
"16/12/2022","3.285","3.285","3.285","3.285","-0.90%"
"15/12/2022","3.315","3.315","3.315","3.315","0.24%"
"14/12/2022","3.307","3.349","3.349","3.307","-1.25%"
"13/12/2022","3.349","3.349","3.349","3.349","0.39%"
"12/12/2022","3.336","3.336","3.336","3.336","0.76%"
"09/12/2022","3.311","3.311","3.311","3.311","0.52%"
"08/12/2022","3.294","3.294","3.294","3.294","0.09%"
"07/12/2022","3.291","3.291","3.291","3.291","0.00%"
"06/12/2022","3.291","3.291","3.291","3.291","2.01%"
"05/12/2022","3.226","3.226","3.226","3.226","-0.77%"
"02/12/2022","3.251","3.251","3.251","3.251","0.74%"
